IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
152.67.233.64,443,true,SJC,North America,San Jose,175 ms,6116 kB/s
146.56.46.84,443,true,ICN,Asia Pacific,Seoul,100 ms,5645 kB/s
129.146.137.89,2096,true,LAX,North America,Los Angeles,236 ms,5202 kB/s
89.168.84.87,443,true,FRA,Europe,Frankfurt,240 ms,5193 kB/s
158.101.211.160,443,true,FRA,Europe,Frankfurt,255 ms,5149 kB/s
40.233.70.7,8443,true,YYZ,North America,Toronto,239 ms,5025 kB/s
204.216.105.106,8443,true,YUL,North America,Montréal,249 ms,4431 kB/s
158.178.146.205,443,true,FRA,Europe,Frankfurt,246 ms,4428 kB/s
152.70.155.147,2083,true,LAX,North America,Los Angeles,250 ms,4229 kB/s
130.61.203.115,2053,true,FRA,Europe,Frankfurt,296 ms,4154 kB/s
130.61.23.77,443,true,FRA,Europe,Frankfurt,299 ms,4133 kB/s
152.70.155.147,2053,true,LAX,North America,Los Angeles,249 ms,4072 kB/s
155.248.202.141,443,true,SJC,North America,San Jose,194 ms,4012 kB/s
143.47.243.144,2053,true,LHR,Europe,London,242 ms,3954 kB/s
193.123.250.209,2087,true,ICN,Asia Pacific,Seoul,74 ms,3947 kB/s
140.238.127.240,443,true,FRA,Europe,Frankfurt,247 ms,3937 kB/s
152.70.155.147,2096,true,LAX,North America,Los Angeles,250 ms,3873 kB/s
129.146.254.39,443,true,LAX,North America,Los Angeles,242 ms,3752 kB/s
89.168.118.76,443,true,FRA,Europe,Frankfurt,254 ms,3579 kB/s
144.21.63.246,443,true,FRA,Europe,Frankfurt,246 ms,3454 kB/s
89.168.43.31,2053,true,CDG,Europe,Paris,248 ms,3433 kB/s
141.145.205.115,8443,true,CDG,Europe,Paris,244 ms,3322 kB/s
144.24.169.81,8443,true,FRA,Europe,Frankfurt,296 ms,3269 kB/s
141.148.229.106,443,true,AMS,Europe,Amsterdam,309 ms,3173 kB/s
152.70.155.147,8443,true,LAX,North America,Los Angeles,250 ms,3105 kB/s
152.70.155.147,443,true,LAX,North America,Los Angeles,263 ms,3103 kB/s
152.70.155.147,2087,true,LAX,North America,Los Angeles,257 ms,3066 kB/s
141.144.253.109,443,true,FRA,Europe,Frankfurt,304 ms,2998 kB/s
138.3.254.39,443,true,FRA,Europe,Frankfurt,294 ms,2868 kB/s
129.159.252.1,443,true,FRA,Europe,Frankfurt,280 ms,2840 kB/s
143.47.184.95,443,true,FRA,Europe,Frankfurt,254 ms,2797 kB/s
152.70.234.188,443,true,ICN,Asia Pacific,Seoul,97 ms,2783 kB/s
152.70.59.90,8443,true,AMS,Europe,Amsterdam,294 ms,2782 kB/s
84.235.169.234,443,true,AMS,Europe,Amsterdam,311 ms,2769 kB/s
158.179.203.23,443,true,OSL,Europe,Oslo,255 ms,2745 kB/s
158.178.129.114,8443,true,TLV,Middle East,Tel Aviv,276 ms,2716 kB/s
129.146.248.140,443,true,LAX,North America,Los Angeles,294 ms,2568 kB/s
150.230.20.156,8443,true,AMS,Europe,Amsterdam,297 ms,2476 kB/s
143.47.243.144,8443,true,LHR,Europe,London,248 ms,2326 kB/s
132.145.54.84,2053,true,LHR,Europe,London,257 ms,2076 kB/s
130.61.239.203,443,true,FRA,Europe,Frankfurt,303 ms,1961 kB/s
130.61.107.238,8443,true,FRA,Europe,Frankfurt,297 ms,1907 kB/s
193.123.81.105,443,true,DXB,Middle East,Dubai,194 ms,1890 kB/s
89.168.68.57,8443,true,FRA,Europe,Frankfurt,295 ms,1823 kB/s
129.146.46.164,443,true,LAX,North America,Los Angeles,272 ms,1775 kB/s
152.70.248.96,443,true,ICN,Asia Pacific,Seoul,122 ms,1548 kB/s
129.159.83.88,8443,true,IAD,North America,Ashburn,258 ms,1546 kB/s
158.178.129.114,2053,true,TLV,Middle East,Tel Aviv,291 ms,1513 kB/s
140.238.158.238,443,true,YYZ,North America,Toronto,238 ms,1399 kB/s
132.145.54.84,8443,true,LHR,Europe,London,250 ms,1398 kB/s
164.152.26.70,2086,true,ORD,North America,Chicago,241 ms,1353 kB/s
192.9.180.162,443,true,SYD,Oceania,Sydney,327 ms,1218 kB/s
130.61.239.203,2053,true,FRA,Europe,Frankfurt,316 ms,1209 kB/s
164.152.26.70,2052,true,ORD,North America,Chicago,250 ms,1196 kB/s
129.146.7.98,443,true,LAX,North America,Los Angeles,245 ms,1159 kB/s
144.24.161.142,8443,true,FRA,Europe,Frankfurt,292 ms,1156 kB/s
144.24.169.81,2053,true,FRA,Europe,Frankfurt,295 ms,1067 kB/s
158.180.49.11,2053,true,FRA,Europe,Frankfurt,290 ms,1011 kB/s
158.178.206.197,2053,true,CDG,Europe,Paris,251 ms,992 kB/s
144.22.252.124,443,true,GRU,South America,São Paulo,368 ms,985 kB/s
150.230.20.156,2053,true,AMS,Europe,Amsterdam,310 ms,921 kB/s
89.168.68.57,2053,true,FRA,Europe,Frankfurt,298 ms,838 kB/s
132.226.163.224,8443,true,GRU,South America,São Paulo,369 ms,771 kB/s
158.179.206.143,443,true,OSL,Europe,Oslo,276 ms,726 kB/s
158.180.49.11,8443,true,FRA,Europe,Frankfurt,309 ms,694 kB/s
129.159.84.71,443,true,IAD,North America,Ashburn,245 ms,588 kB/s
141.144.232.159,443,true,FRA,Europe,Frankfurt,296 ms,451 kB/s
129.146.242.24,2053,true,LAX,North America,Los Angeles,258 ms,404 kB/s
34.123.83.237,443,true,ORD,North America,Chicago,257 ms,384 kB/s
132.226.163.224,2053,true,GRU,South America,São Paulo,369 ms,268 kB/s
158.178.206.197,8443,true,CDG,Europe,Paris,242 ms,208 kB/s
158.179.207.182,2053,true,ARN,Europe,Stockholm,259 ms,201 kB/s
158.101.175.51,2053,true,FRA,Europe,Frankfurt,304 ms,195 kB/s
158.101.215.45,8443,true,AMS,Europe,Amsterdam,294 ms,195 kB/s
158.101.169.13,2053,true,FRA,Europe,Frankfurt,302 ms,172 kB/s
89.168.43.31,8443,true,CDG,Europe,Paris,301 ms,121 kB/s
158.101.169.13,8443,true,FRA,Europe,Frankfurt,303 ms,108 kB/s
140.238.158.238,8080,true,YYZ,North America,Toronto,241 ms,99 kB/s
150.230.122.76,443,true,LHR,Europe,London,233 ms,0 kB/s
192.18.159.129,443,true,YYZ,North America,Toronto,232 ms,0 kB/s
150.136.121.64,80,true,IAD,North America,Ashburn,234 ms,0 kB/s
129.159.47.255,443,true,SJC,North America,San Jose,178 ms,0 kB/s
168.138.201.0,443,true,NRT,Asia Pacific,Tokyo,136 ms,0 kB/s
140.238.195.98,443,true,SYD,Oceania,Sydney,327 ms,0 kB/s
192.18.140.32,443,true,SJC,North America,San Jose,185 ms,0 kB/s
193.123.235.59,443,true,ICN,Asia Pacific,Seoul,58 ms,0 kB/s
132.226.1.227,443,true,NRT,Asia Pacific,Tokyo,169 ms,0 kB/s
150.136.87.192,443,true,IAD,North America,Ashburn,233 ms,0 kB/s
158.179.207.182,8443,true,ARN,Europe,Stockholm,259 ms,0 kB/s
168.138.212.80,443,true,NRT,Asia Pacific,Tokyo,157 ms,0 kB/s
152.70.249.67,443,true,ICN,Asia Pacific,Seoul,129 ms,0 kB/s
